Ámbito	Activo Afectado	Severidad	Riesgo	Vulnerabilidad	Descripción	Propuesta resolución	Estado	Plazo resolución	Fecha resolución	Plugin Output	Responsable	Solucionado	Fecha detección	HostValue
Externo	alphabet-pre.e-mailteck.com	Baja	Baja	Content Security Policy Missing 'Report-To'	Content Security Policy (CSP) is a web security standard that helps to mitigate attacks like cross-site scripting (XSS), clickjacking or mixed content issues. CSP provides mechanisms to websites to restrict content that browsers will be allowed to load.The 'report-to' directive allows websites to specify a reporting endpoint where browsers can send CSP violation reports. This helps administrators monitor policy violations and fine-tune their security policies.While a Content Security Policy has been detected on this host, it is missing the 'report-to' directive, which means potential violations won't be reported automatically. This reduces visibility into security events that could help identify and remediate issues.	Add the 'report-to' directive to your existing Content Security Policy header.	Pendiente	14/01/2026		On page 'https://alphabet-pre.e-mailteck.com/' the Content-Security-Policy header has no 'report-to' directive.	Sistemas	NO	18/07/2025	1
Externo	alphabet-pre.e-mailteck.com	Baja	Baja	Cookie Without SameSite Flag Detected	SameSite is an attribute which can be set on a cookie to instruct the web browser if this cookie can be sent along with cross-site requests to help prevent Cross-Site Request Forgery (CSRF) attacks.The attribute has three possible values :- Strict : the cookie will only be sent in a first-party context, thus preventing cross-site requests initiated from third-party websites to include it.- Lax : the cookie is allowed to be sent in GET cross-site requests initiated by the top-level navigation from third-party websites. For example, following an hypertext link from the external website will make the request include the cookie.- None : the cookie is explicitly set to be sent by the browser in any context.The scanner identified the lack of SameSite attribute on cookies set by the application or a misconfiguration.	Web browsers default behavior may differ when processing cookies in a cross-site context, making the final decision to send the cookie in this context unpredictable. The SameSite attribute should be set in every cookie to enforce the expected result by developers. When using the 'None' attribute value, ensure that the cookie is also set with the 'Secure' flag.	Pendiente	14/01/2026		The scanner detected a cookie named 'XSRF-TOKEN' set through a 'Set-Cookie' header which does not have the 'SameSite' attribute set.	Sistemas	NO	18/07/2025	1
Externo	alphabet-pre.e-mailteck.com	Baja	Baja	Cookie Without Secure Flag Detected	When the `secure` flag is set on a cookie, the browser will prevent it from being sent over a clear text channel (HTTP) and only allow it to be sent when an encrypted channel is used (HTTPS).The scanner discovered that a cookie was set by the server without the secure flag being set. Although the initial setting of this cookie was via an HTTPS connection, any HTTP link to the same server will result in the cookie being sent in clear text.Note that if the cookie does not contain sensitive information, the risk of this vulnerability is mitigated.	If the cookie contains sensitive information, then the server should ensure that the cookie has the `secure` flag set.	Pendiente	14/01/2026		The scanner detected a cookie named 'laravel_session' set through a 'Set-Cookie' header without the Secure flag set.	Sistemas	NO	18/07/2025	1
Externo	alphabet-pre.e-mailteck.com	Baja	Baja	HTTP Header Information Disclosure	The HTTP headers sent by the remote web server disclose information that can aid an attacker, such as the server version and technologies used by the web server.	Modify the HTTP headers of the web server to not disclose detailed information about the underlying web server.	Pendiente	14/01/2026		"The following header information disclosures have been detected on https://alphabet-pre.e-mailteck.com/server/servicio.php?WSDL:
- Server: nginx"	Sistemas	NO	18/07/2025	1
Externo	alphabet-pre.e-mailteck.com	Baja	Baja	Permissive Content Security Policy Detected	Content Security Policy (CSP) is a web security standard that helps to mitigate attacks like cross-site scripting (XSS), clickjacking or mixed content issues. CSP provides mechanisms to websites to restrict content that browsers will be allowed to load.One or several permissive directives have been detected. See output for more details.	Content Security Policies are designed to have control over where resources on a website can be loaded from. Implementing a policy depends on the application type (web applications, APIs...) and the directives have to be specified according to this.For web applications, The following directive configurations can usually be applied to restrict the policy:- 'frame-ancestors' should be set to 'none' to avoid rendering of page in <frame>, <iframe>, <object>, <embed>, or <applet>.- 'form-action' should be explicitly set to 'self' to restrict form submission to the origin which the protected page is being served.- Any of the 'unsafe-*' directives indicate that the action is considered unsafe and it is better to refactor the code to avoid using HTML event handlers that rely on this.- data: https: http: URI in 'default-src', 'object-src', 'base-uri' & 'script-src' allow execution of unsafe scripts and should not be set.- * and *.* in 'script-src' and other '-src' directives allows execution of unsafe scripts and should be restricted.- 'default-src' should be explicitly set to 'self' or 'none' and individual directives required for each source type set more permissively as required- * and *.* in 'default-src' allows various unconfigured parameters to default to a unsafe configuration and then should not be set.For APIs, there should not be any need to load resources like scripts or frames, so specifying a strict policy using default-src 'none' and frame-ancestors 'none' is recommended.If some unsafe directives are required for business continuity in your environment, apply mitigating controls suitable for your environment and work with the vendors of the products for which these directives are required. Note that different CSP versions exist, and that some of the directives may not work depending on the browser versions used when accessing the web application.	Pendiente	14/01/2026		"The scanner detected the following permissive statements in the detected effective Content Security Policy :
The 'script-src' directive has the following issue(s) :
- The directive uses a permissive keyword which allows unsafe script execution : 'unsafe-inline'.
- The directive uses a permissive keyword which allows unsafe script execution : 'unsafe-eval'.
The 'style-src' directive has the following issue(s) :
- The directive is missing."	Sistemas	NO	18/07/2025	1
Externo	alphabet-pre.e-mailteck.com	Informativa	Informativa	Allowed HTTP Methods	There are a number of HTTP methods that can be used on a webserver (`OPTIONS`, `HEAD`, `GET`, `POST`, `PUT`, `DELETE` etc.). Each of these methods perform a different function and each have an associated level of risk when their use is permitted on the webserver.By sending an HTTP OPTIONS request and a direct HTTP request for each method, the scanner discovered the methods that are allowed by the server.	It is recommended that a whitelisting approach be taken to explicitly permit only the HTTP methods required by the application and block all others.	Pendiente			The scanner was able to identify several HTTP methods that can be used for one or several URLs. The results are available as attachments.	Sistemas	NO	18/07/2025	1
Externo	alphabet-pre.e-mailteck.com	Informativa	Informativa	Allowed HTTP Versions	The Hypertext Transfer Protocol (HTTP) is the underlying protocol of the World Wide Web. Since its first release, HTTP has evolved to support modern web usages and currently exists in three versions:- HTTP/1.0- HTTP/1.1- HTTP/2The scanner identified the supported versions of the HTTP protocol on the target web application.	No disponible	Pendiente			"The scanner detected the following HTTP versions on the target application :
- HTTP/1.1
- HTTP/2
The list of requests and responses observed is provided in attachment."	Sistemas	NO	18/07/2025	1
Externo	alphabet-pre.e-mailteck.com	Informativa	Informativa	Amazon Web Services Detected	This is an informational notice that the scanner was able to detect that the target application is using an Amazon Web Services cloud service.	No disponible	Pendiente			The scanner was able to detect the use of the AWS Elastic Load Balancing service on the target application	Sistemas	NO	18/07/2025	1
Externo	alphabet-pre.e-mailteck.com	Informativa	Informativa	Cookies Collected	The scanner collected the cookies returned by the application during the scan. The list includes the following information for each cookie:- Name: name of the cookie- Value: value of the cookie- Domain: hosts to which the cookie will be sent- Path: URL path which must exist in the requested resource before sending the cookie- Expires: maximum lifetime of the cookie as an HTTP-date timestamp- Max-Age: number of seconds until the cookie expires- HttpOnly: cookie is set to be not accessible via JavaScript, XMLHttpRequest and Request APIs- Secure: cookie will be sent to the server only when a request is made using HTTPS- SameSite: cookie will be sent along with cross-site request according the defined policy- URL: first URL discovered which set the cookie in its response- Set-Method: method used by the application to set the cookie (Set-Cookie or JavaScript)- Audited: cookie will be audited by plugins during the scan- Reason Not Audited: reason given for the cookie not being audited during the scan	No disponible	Pendiente			"The following cookies have been collected during the scan of the target:
- 2 cookie(s) specified via Set-Cookie
- 0 cookie(s) set via JavaScript code
The complete list of the cookies is available in attachment."	Sistemas	NO	18/07/2025	1
Externo	alphabet-pre.e-mailteck.com	Informativa	Informativa	Duplicate HTTP Headers Detected	Multiple HTTP headers of the same name have been detected. RFC 7230 states a server must not generate multiple header fields with the same field name unless either the entire field value for that header field is defined as a comma-separated list, or the header field is a well-known exception. Strings split across multiple header instances may have unpredictable results, since other elements such as command and whitespace may be inserted during recombination outside the control of the originating serializer.	Ensure that any HTTP header or meta tag http-equiv declarations are named uniquely.	Pendiente			On page https://alphabet-pre.e-mailteck.com/server/servicio.php?WSDL duplicated 'cache-control' have been detected.	Sistemas	NO	18/07/2025	1
